employee_id,first_name,last_name,date_of_birth,gender,hire_date,department_id,position_id,salary,manager
1,Taylor,Ross,05/10/1997,F,30/03/2016,4,4,14720,0
2,Adeline,Anderson,09/06/1985,F,20/07/1999,6,24,20449,0
3,Jose,Richardson,22/02/1974,M,30/09/2007,8,3,36911,0
4,Emmanuel,Ruiz,27/06/1980,M,07/04/1999,2,22,34487,0
5,Jordyn,Flores,31/08/1987,F,31/03/1999,1,21,26261,0
6,Jace,Gonzales,08/04/1967,M,06/12/2016,4,9,40964,1
7,Hunter,Long,11/11/1964,M,09/01/1999,4,21,47817,1
8,Anna,Cruz,15/02/1986,F,08/04/2000,6,18,39349,0
9,Paul,Sanchez,09/06/1970,M,10/01/2001,5,2,28628,0
10,Emma,Edwards,16/04/1990,F,26/02/2005,8,7,38892,0
11,Levi,Bailey,09/06/1964,M,30/04/2011,7,16,41044,1
12,Anthony,Price,21/03/1997,M,08/06/2017,4,14,26561,0
13,Sebastian,Scott,14/08/1962,M,29/06/2012,8,24,22367,0
14,Liam,Adams,06/08/1996,M,30/11/2012,4,13,21749,0
15,Clara,Baker,15/06/1981,F,23/02/2016,1,1,31924,0
16,Adalynn,Gonzales,10/11/1968,F,23/04/2001,5,7,17395,0
17,Jude,Williams,01/10/1989,M,01/03/2010,1,12,32860,0
18,Harper,Mendoza,20/08/1996,F,18/03/2012,6,12,45337,1
19,Jaxon,Morales,18/05/1993,M,28/08/2008,8,8,24328,0
20,Jude,Rodriguez,24/01/1966,M,02/10/2005,7,8,27966,0
21,Eleanor,Mendoza,13/07/1998,F,09/04/2009,8,4,17367,0
22,Matthew,King,02/10/1996,M,21/06/2011,3,15,39517,0
23,Edward,Flores,17/08/1983,M,11/11/2008,5,16,18261,0
24,Paisley,Hughes,06/10/1997,F,04/08/2011,7,5,36875,0
25,Chase,Lopez,20/06/1965,M,18/09/2007,6,22,35167,0
26,Brooklyn,Garcia,29/11/1961,F,31/03/2006,6,10,49671,1
